"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 05 15:31:38 GMT+03:00 2019","Wed Jun 05 15:31:58 GMT+03:00 2019","20420","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.RemoveProductFromCartTest","ru.qa.testingsoft.login.tests.RemoveProductFromCartTest","testRemoveProductFromCart","testRemoveProductFromCart",""
"broken","Wed Jun 05 15:32:19 GMT+03:00 2019","Wed Jun 05 15:32:29 GMT+03:00 2019","10411","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.DataDriveParametrizeSearch","ru.qa.testingsoft.login.tests.DataDriveParametrizeSearch","testDataDriveParametrizeSearch","testDataDriveParametrizeSearch",""
"broken","Wed Jun 05 15:31:58 GMT+03:00 2019","Wed Jun 05 15:32:19 GMT+03:00 2019","20433","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.ReduceQuantity","ru.qa.testingsoft.login.tests.ReduceQuantity","testReduceQuantity","testReduceQuantity",""
"broken","Wed Jun 05 15:32:19 GMT+03:00 2019","Wed Jun 05 15:32:29 GMT+03:00 2019","10416","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.DataDriveParametrizeSearch","ru.qa.testingsoft.login.tests.DataDriveParametrizeSearch","testDataDriveParametrizeSearch","testDataDriveParametrizeSearch",""
"passed","Wed Jun 05 15:31:07 GMT+03:00 2019","Wed Jun 05 15:31:17 GMT+03:00 2019","9844","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.LoginTest","ru.qa.testingsoft.login.tests.LoginTest","testLogOut","testLogOut",""
"broken","Wed Jun 05 15:31:17 GMT+03:00 2019","Wed Jun 05 15:31:28 GMT+03:00 2019","10503","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.SelectDepartmentTest","ru.qa.testingsoft.login.tests.SelectDepartmentTest","testSelectDepartment","testSelectDepartment",""
"broken","Wed Jun 05 15:31:28 GMT+03:00 2019","Wed Jun 05 15:31:38 GMT+03:00 2019","10396","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.SearchMacbookTest","ru.qa.testingsoft.login.tests.SearchMacbookTest","testSearchMacbook","testSearchMacbook",""
"broken","Wed Jun 05 15:31:28 GMT+03:00 2019","Wed Jun 05 15:31:38 GMT+03:00 2019","10398","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.SearchMacbookTest","ru.qa.testingsoft.login.tests.SearchMacbookTest","testSearchMacbook","testSearchMacbook",""
"passed","Wed Jun 05 15:31:07 GMT+03:00 2019","Wed Jun 05 15:31:17 GMT+03:00 2019","9841","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.LoginTest","ru.qa.testingsoft.login.tests.LoginTest","testLogOut","testLogOut",""
"broken","Wed Jun 05 15:31:58 GMT+03:00 2019","Wed Jun 05 15:32:19 GMT+03:00 2019","20431","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.ReduceQuantity","ru.qa.testingsoft.login.tests.ReduceQuantity","testReduceQuantity","testReduceQuantity",""
"passed","Wed Jun 05 15:31:01 GMT+03:00 2019","Wed Jun 05 15:31:07 GMT+03:00 2019","6578","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.LoginTest","ru.qa.testingsoft.login.tests.LoginTest","testLogIn","testLogIn",""
"broken","Wed Jun 05 15:31:17 GMT+03:00 2019","Wed Jun 05 15:31:28 GMT+03:00 2019","10503","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.SelectDepartmentTest","ru.qa.testingsoft.login.tests.SelectDepartmentTest","testSelectDepartment","testSelectDepartment",""
"broken","Wed Jun 05 15:31:38 GMT+03:00 2019","Wed Jun 05 15:31:58 GMT+03:00 2019","20424","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.RemoveProductFromCartTest","ru.qa.testingsoft.login.tests.RemoveProductFromCartTest","testRemoveProductFromCart","testRemoveProductFromCart",""
"passed","Wed Jun 05 15:31:00 GMT+03:00 2019","Wed Jun 05 15:31:07 GMT+03:00 2019","6635","SmokeTests","Smoke Tests","ru.qa.testingsoft.login.tests.LoginTest","ru.qa.testingsoft.login.tests.LoginTest","testLogIn","testLogIn",""
